DEFAULT;ANTIUEDAD;EDAD;CUOTA_TOTAL;INGRESOS
0;31;63;1583984;6649948
0;16;55;748245;3979411
0;35;74;180693;9404872
0;5;36;422650;4050870
0;9;31;895269;3806911
0;3;30;316014;2886859
0;15;52;1382363;5424291
0;10;45;1214437;2354942
0;7;71;1014315;2528157
0;31;70;1182723;5176648
0;13;70;196399;3691077
0;31;70;303821;5575589
0;33;69;530125;7163154
0;15;69;26898;6601422
0;34;68;1036411;5670042
0;34;68;202229;3923784
0;23;68;1185300;5263590
0;9;67;605923;10122601
0;28;67;937249;3229903
0;33;67;366495;1994005
0;7;66;985308;3742062
0;30;66;482528;7335826
0;32;66;2979121;7012510
0;34;65;540334;7144481
0;26;51;289360;5915230
0;3;50;419015;4865014
0;7;49;764968;3018192
0;29;71;934724;8387117
0;36;71;849364;7183734
0;37;69;591527;6152149
0;20;68;335981;1901444
0;36;68;1655039;16271980
0;21;65;172264;2600643
0;34;67;2274450;7308470
0;24;64;430496;5351733
0;33;63;516093;5144706
0;4;63;563329;2888187
0;5;61;195341;1072775
0;9;61;590919;4316052
0;16;60;352629;6656756
0;28;56;966179;5057134
0;17;58;1222415;4586288
0;15;48;1675592;4182491
0;4;38;340228;3126795
0;3;38;337599;2651123
0;8;53;614856;4098790
0;5;34;763030;3679095
0;3;47;420329;2675352
0;13;56;473322;4767449
0;28;58;1137429;5952085
0;8;52;904974;5102801
0;15;51;506416;1569637
0;14;49;822834;2993301
0;15;49;1106686;5314262
0;3;41;629031;4307993
0;7;42;542993;3881846
0;8;37;409030;3459890
0;4;32;1093389;4214189
0;7;40;1497920;5222070
0;12;53;1124243;4793774
0;13;50;852792;3771495
0;6;46;650450;4117484
0;8;38;389485;3177297
0;17;52;831924;5547321
0;10;49;559142;3690908
0;11;43;1186297;3276528
0;12;44;366628;4439619
0;5;44;806870;6882592
0;3;43;21034;2712877
0;12;44;388862;4632815
0;15;45;605867;4989548
0;6;44;792644;3363185
0;16;43;1096463;1928002
0;13;43;639278;2680175
0;6;43;846833;3542095
0;4;42;314508;1608204
0;6;42;146071;1235943
0;2;42;131595;2680175
0;6;41;222206;1235943
0;7;42;393448;3052234
0;3;41;75437;2134494
0;7;41;241703;4012183
0;5;35;1175434;4477442
0;9;39;186245;1863887
0;2;39;387;2652084
0;7;39;323865;3784389
0;9;39;955871;4417270
0;3;38;263190;1332380
0;7;38;412699;2911895
0;3;37;69044;633825
0;5;37;60462;3728520
0;6;37;564961;2406236
0;12;38;305544;1282100
0;2;30;482821;2609695
0;17;62;890061;3731585
0;5;42;270122;3495846
0;12;51;224449;4165514
0;3;38;440236;3051580
0;10;42;367349;6190839
0;4;37;368411;5375938
0;8;48;675309;5862042
0;3;34;510351;5556777
0;10;50;1494144;6076190
0;5;52;932158;9063408
0;34;65;1606084;7031206
0;9;53;542843;3470635
0;3;51;1475197;5400437
0;13;51;121985;5745889
0;13;50;1118758;6133246
0;20;50;665287;7314229
0;17;48;1249335;4881346
0;13;49;17726;6923004
0;11;49;366560;5888045
0;5;47;1079917;5361648
0;10;44;1376742;5637902
0;3;42;932594;5251511
0;5;37;408535;4047642
0;7;40;797331;3317868
0;11;49;1538716;5358317
0;14;51;17760;1158920
0;11;45;1532841;11001806
0;3;39;358829;2079144
0;11;45;602067;5310072
0;4;33;1758416;6029020
0;14;54;505933;3585070
0;4;47;164784;3202010
0;11;45;139185;4569156
0;4;44;90241;5344563
0;5;38;323118;3917627
0;12;38;849912;5080988
0;4;33;424071;3430879
0;4;47;816012;2850752
0;5;44;712648;3665120
0;12;39;699930;3836825
0;13;42;1490280;3141970
0;7;42;815969;3040835
0;9;42;2263782;8743959
0;10;39;379236;3368042
0;5;41;196625;857140
0;3;41;411248;2680175
0;9;41;707933;4123179
0;9;42;75513;3622140
0;3;40;464094;3928909
0;3;40;257889;2378213
0;7;40;1067601;4336682
0;11;39;1139893;4835465
0;3;39;848902;3866051
0;8;47;484532;2400000
0;3;38;497409;2354942
0;10;38;307856;3080000
0;5;38;504673;3172999
0;4;37;1317937;4390407
0;2;36;665902;4549433
0;7;35;1619835;4737471
0;4;29;419174;1304816
0;8;38;786197;3675865
0;6;44;438650;4560178
0;10;39;1005867;5477479
0;5;41;276959;5203374
0;7;36;1088112;5636827
0;16;74;792704;2586380
0;2;27;9256;2473929
0;6;28;393514;2995706
0;2;27;215402;2434817
